route_id,region_id,street_edge_id,way_type,geom
1,96,27789,residential,0102000020E610000007000000B0726891ED8052C0ADF6B0170A7A44401A187959138152C0E33785950A7A444002BC0512148152C054ABAFAE0A7A4440ADDF4C4C178152C054ABAFAE0A7A44400A80F10C1A8152C01F6ADB300A7A444015AC71361D8152C04374081C097A44408D47A984278152C057AF22A3037A4440
1,96,27792,residential,0102000020E61000000600000053CF8250DE8052C0E36BCF2C097A444039252026E18052C0015130630A7A44406E32AA0CE38052C0959A3DD00A7A444055A2EC2DE58052C0F5A276BF0A7A4440A2F14410E78052C0EFE53E390A7A4440B0726891ED8052C0ADF6B0170A7A4440
2,95,27992,residential,0102000020E610000007000000026553AEF08252C0643C4A253C7B44404EB4AB90F28252C070B6B9313D7B4440124E0B5EF48252C0A5F78DAF3D7B4440B79A75C6F78252C0348463963D7B4440F1643733FA8252C0C8CD70033E7B44406D382C0DFC8252C0B071FDBB3E7B44400AF83592048352C0E316F373437B4440
2,95,27683,residential,0102000020E610000003000000E17B7F83F68252C06B274A42227B44404084B872F68252C03B6F63B3237B4440026553AEF08252C0643C4A253C7B4440
2,95,27906,residential,0102000020E6100000020000000D6E6B0BCF8252C0354415FE0C7B4440E17B7F83F68252C06B274A42227B4440
3,94,27968,residential,0102000020E6100000050000009DB756209F8252C0DFD27B74347A44404D4A41B7978252C0B2D6506A2F7A444071546EA2968252C018D00B772E7A444049DBF813958252C0B43EE5982C7A4440BA826DC4938252C08BDF14562A7A4440
3,94,27969,residential,0102000020E610000002000000C7227573AB8252C06D4F47DA3B7A44409DB756209F8252C0DFD27B74347A4440
4,95,27970,residential,0102000020E610000003000000C56460D3B98252C0EF343E38447A4440BE3FEFD7AE8252C0B15D90E33D7A4440C7227573AB8252C06D4F47DA3B7A4440
4,95,27982,residential,0102000020E610000002000000C56460D3B98252C0EF343E38447A44403EDBB463B48252C07119DC7B5D7A4440
5,30,7555,residential,0102000020E610000005000000DF90A1BE40925EC013301576ACCD4740C9D00C3D3D925EC05665DF15C1CD4740888B92463B925EC0085B47B0CCCD47409B13C5F539925EC02F38DE78D2CD47407ED23F7738925EC074000EEBD7CD4740
6,12,4144,residential,0102000020E610000003000000AA6D799B6D925EC0FEE5A4411BD54740A9BAEC7C64925EC0F8E0B54B1BD54740D7A205685B925EC0F2DBC6551BD54740
